dataset,color_profile,img_x,img_y,algorithm,train_size,train_time,test_size,test_time,precision,error,origin
mnist,gray,28,28,NN,20000,4.23451519,10000,0.239200592,0.918600023,0.081399977,local_2
mnist,gray,28,28,CNN,20000,39.82379866,10000,0.822009563,0.979600012,0.020399988,local_2
mnist,gray,28,28,SVM_poli,30000,29.41136742,10000,11.45736599,0.9735,0.0265,local_2
mnist,gray,28,28,decision_tree,30000,5.44659543,10000,0.012955904,0.851,0.149,local_2
mnist,gray,28,28,random_forest,30000,11.59159851,10000,0.242190361,0.9632,0.0368,local_2
mnist,gray,28,28,naive_bayes,30000,0.198882341,10000,0.477987051,0.5475,0.4525,local_2
mnist,gray,28,28,knn,30000,0.000996351,10000,4.828656912,0.9624,0.0376,local_2
mnist,gray,28,28,NN,30000,6.21697998,10000,0.23819685,0.924399972,0.075600028,local_2
mnist,gray,28,28,CNN,30000,61.30947948,10000,0.833732843,0.982200027,0.017799973,local_2
mnist,gray,28,28,CNN,50000,99.29604483,10000,0.850328684,0.986800015,0.013199985,local_3
mnist,gray,28,28,CNN,40000,78.28745341,10000,0.84134531,0.985400021,0.014599979,local_3
mnist,gray,28,28,CNN,30000,59.52969599,10000,0.842064619,0.98150003,0.01849997,local_3
mnist,gray,28,28,CNN,20000,41.38380265,10000,0.846876144,0.982599974,0.017400026,local_3
mnist,gray,28,28,CNN,10000,20.73908424,10000,0.928932905,0.971400023,0.028599977,local_3
mnist,gray,28,28,CNN,5000,11.14197683,10000,0.840907812,0.924499989,0.075500011,local_3
mnist,gray,28,28,NN,50000,11.44859529,10000,0.269773006,0.95599997,0.04400003,local_3
mnist,gray,28,28,NN,40000,9.590025902,10000,0.290819407,0.932099998,0.067900002,local_3
mnist,gray,28,28,NN,30000,7.746072769,10000,0.293861866,0.927200019,0.072799981,local_3
mnist,gray,28,28,NN,20000,5.249994516,10000,0.284106493,0.924499989,0.075500011,local_3
mnist,gray,28,28,NN,10000,2.877966166,10000,0.293105125,0.897800028,0.102199972,local_3
mnist,gray,28,28,NN,5000,1.680020809,10000,0.298887253,0.839600027,0.160399973,local_3
mnist,gray,28,28,SVM_poli,50000,72.57884049,10000,17.39508605,0.9777,0.0223,local_3
mnist,gray,28,28,SVM_poli,40000,52.89549208,10000,16.49037242,0.9772,0.0228,local_3
mnist,gray,28,28,SVM_poli,30000,36.54816818,10000,14.09315944,0.9735,0.0265,local_3
mnist,gray,28,28,SVM_poli,20000,18.51695824,10000,9.3860569,0.9675,0.0325,local_3
mnist,gray,28,28,SVM_poli,10000,4.514372587,10000,5.292992592,0.9573,0.0427,local_3
mnist,gray,28,28,SVM_poli,5000,1.055619001,10000,2.307945728,0.9421,0.0579,local_3
mnist,gray,28,28,decision_tree,50000,11.98197675,10000,0.015512466,0.8733,0.1267,local_3
mnist,gray,28,28,decision_tree,40000,9.29892087,10000,0.014565468,0.8618,0.1382,local_3
mnist,gray,28,28,decision_tree,30000,6.199835777,10000,0.015793562,0.8507,0.1493,local_3
mnist,gray,28,28,decision_tree,20000,3.70828557,10000,0.017818451,0.8403,0.1597,local_3
mnist,gray,28,28,decision_tree,10000,1.530255318,10000,0.016141415,0.8056,0.1944,local_3
mnist,gray,28,28,decision_tree,5000,0.596313715,10000,0.014042139,0.7803,0.2197,local_3
mnist,gray,28,28,random_forest,50000,24.81284451,10000,0.333300591,0.9685,0.0315,local_3
mnist,gray,28,28,random_forest,40000,18.36294627,10000,0.287627697,0.9659,0.0341,local_3
mnist,gray,28,28,random_forest,30000,13.13133073,10000,0.262030363,0.9631,0.0369,local_3
mnist,gray,28,28,random_forest,20000,7.427205801,10000,0.225437641,0.9587,0.0413,local_3
mnist,gray,28,28,random_forest,10000,3.318059206,10000,0.203104973,0.9519,0.0481,local_3
mnist,gray,28,28,random_forest,5000,1.508375406,10000,0.186685085,0.9353,0.0647,local_3
mnist,gray,28,28,naive_bayes,50000,0.355160236,10000,0.460855484,0.5544,0.4456,local_3
mnist,gray,28,28,naive_bayes,40000,0.27636838,10000,0.473994493,0.5526,0.4474,local_3
mnist,gray,28,28,naive_bayes,30000,0.190952778,10000,0.458593607,0.5475,0.4525,local_3
mnist,gray,28,28,naive_bayes,20000,0.123703718,10000,0.460487366,0.5517,0.4483,local_3
mnist,gray,28,28,naive_bayes,10000,0.060982466,10000,0.46957922,0.5738,0.4262,local_3
mnist,gray,28,28,naive_bayes,5000,0.031143904,10000,0.458639145,0.58,0.42,local_3
mnist,gray,28,28,knn,50000,0.002000332,10000,8.438879013,0.9681,0.0319,local_3
mnist,gray,28,28,knn,40000,0.002518892,10000,6.498859882,0.9664,0.0336,local_3
mnist,gray,28,28,knn,30000,0.002023935,10000,5.142961025,0.9624,0.0376,local_3
mnist,gray,28,28,knn,20000,0.002000809,10000,3.218849421,0.956,0.044,local_3
mnist,gray,28,28,knn,10000,0.000999928,10000,1.719987392,0.9463,0.0537,local_3
mnist,gray,28,28,knn,5000,0,10000,0.92530632,0.9339,0.0661,local_3
