dataset,color_profile,img_x,img_y,algorithm,train_size,train_time,test_size,test_time,precision,error,origin
cifar,color,32,32,knn,30000,0.002000332,10000,10.70899129,0.315,0.685,local_1
cifar,color,32,32,NN,30000,8.92399168,10000,0.329999208,0.100000001,0.899999999,local_1
cifar,color,32,32,CNN,30000,83.53615999,10000,1.239998579,0.591000021,0.408999979,local_1
cifar,gray,32,32,SVM_poli,30000,667.0831749,10000,83.52492452,0.373,0.627,local_1
cifar,gray,32,32,decision_tree,30000,26.38597584,10000,0.020999908,0.2244,0.7756,local_1
cifar,gray,32,32,random_forest,30000,55.2149508,10000,0.364999533,0.4088,0.5912,local_1
cifar,gray,32,32,naive_bayes,30000,0.271999598,10000,0.61700058,0.2732,0.7268,local_1
cifar,gray,32,32,knn,30000,0.017999887,10000,2.804005384,0.2731,0.7269,local_1
cifar,gray,32,32,NN,30000,6.913993835,10000,0.262992382,0.100000001,0.899999999,local_1
cifar,gray,32,32,CNN,30000,77.32993174,10000,1.04799819,0.561200023,0.438799977,local_1
cifar,color,32,32,SVM_poli,5000,23.9618187,10000,44.33162737,0.3877,0.6123,local_2
cifar,color,32,32,decision_tree,5000,10.22544169,10000,0.043197155,0.2243,0.7757,local_2
cifar,color,32,32,random_forest,5000,12.23656178,10000,0.352432013,0.4004,0.5996,local_2
cifar,color,32,32,naive_bayes,5000,0.124617577,10000,1.858350277,0.2952,0.7048,local_2
cifar,color,32,32,knn,5000,0.010963202,10000,1.719339132,0.259,0.741,local_2
cifar,color,32,32,NN,5000,1.566585779,10000,0.315460443,0.172700003,0.827299997,local_2
cifar,color,32,32,CNN,5000,13.52768683,10000,1.205970764,0.3759,0.6241,local_2
cifar,gray,32,32,SVM_poli,5000,8.168278933,10000,14.10326481,0.2947,0.7053,local_2
cifar,gray,32,32,decision_tree,5000,3.43612504,10000,0.018936872,0.1995,0.8005,local_2
cifar,gray,32,32,random_forest,5000,7.081827164,10000,0.25714016,0.3495,0.6505,local_2
cifar,gray,32,32,naive_bayes,5000,0.043853521,10000,0.601622581,0.2713,0.7287,local_2
cifar,gray,32,32,knn,5000,0.003987551,10000,0.67276001,0.2192,0.7808,local_2
cifar,gray,32,32,NN,5000,1.339736462,10000,0.25813818,0.172600001,0.827399999,local_2
cifar,gray,32,32,CNN,5000,12.24975705,10000,1.014823914,0.396400005,0.603599995,local_2
cifar,color,32,32,SVM_poli,10000,109.7184095,10000,85.91884494,0.4166,0.5834,local_2
cifar,color,32,32,decision_tree,10000,22.33081436,10000,0.047843218,0.244,0.756,local_2
cifar,color,32,32,random_forest,10000,26.75358033,10000,0.41155982,0.4239,0.5761,local_2
cifar,color,32,32,naive_bayes,10000,0.2760818,10000,1.857083321,0.293,0.707,local_2
cifar,color,32,32,knn,10000,0.000998259,10000,3.323638201,0.2785,0.7215,local_2
cifar,color,32,32,NN,10000,3.158164024,10000,0.395676851,0.173299998,0.826700002,local_2
cifar,color,32,32,CNN,10000,29.75347471,10000,1.274296522,0.511699975,0.488300025,local_2
cifar,gray,32,32,SVM_poli,10000,45.58098292,10000,28.15116858,0.3242,0.6758,local_2
cifar,gray,32,32,decision_tree,10000,7.433308601,10000,0.018936872,0.2152,0.7848,local_2
cifar,gray,32,32,random_forest,10000,15.62339401,10000,0.298003435,0.3719,0.6281,local_2
cifar,gray,32,32,naive_bayes,10000,0.087707043,10000,0.591044188,0.2708,0.7292,local_2
cifar,gray,32,32,knn,10000,0.005979538,10000,0.957814217,0.2374,0.7626,local_2
cifar,gray,32,32,NN,10000,2.632330418,10000,0.268103361,0.207100004,0.792899996,local_2
cifar,gray,32,32,CNN,10000,27.37901855,10000,1.039288998,0.456900001,0.543099999,local_2
cifar,color,32,32,SVM_poli,20000,413.0852778,10000,170.6927593,0.4578,0.5422,local_2
cifar,color,32,32,decision_tree,20000,46.53824687,10000,0.048836708,0.2515,0.7485,local_2
cifar,color,32,32,random_forest,20000,56.88371682,10000,0.477403402,0.4403,0.5597,local_2
cifar,color,32,32,naive_bayes,20000,0.520259857,10000,1.858782291,0.2951,0.7049,local_2
cifar,color,32,32,knn,20000,0.000996113,10000,7.117378235,0.299,0.701,local_2
cifar,color,32,32,NN,20000,5.905771255,10000,0.356806517,0.100000001,0.899999999,local_2
cifar,color,32,32,CNN,20000,54.04980326,10000,1.270420074,0.532100022,0.467899978,local_2
cifar,gray,32,32,SVM_poli,20000,264.0476222,10000,58.10055614,0.3605,0.6395,local_2
cifar,gray,32,32,decision_tree,20000,16.47389531,10000,0.020929337,0.2199,0.7801,local_2
cifar,gray,32,32,random_forest,20000,34.60848665,10000,0.344251394,0.3916,0.6084,local_2
cifar,gray,32,32,naive_bayes,20000,0.189881802,10000,0.60249424,0.2726,0.7274,local_2
cifar,gray,32,32,knn,20000,0.011960506,10000,1.742221117,0.261,0.739,local_2
cifar,gray,32,32,NN,20000,4.832823753,10000,0.286044598,0.100199997,0.899800003,local_2
cifar,gray,32,32,CNN,20000,51.15790343,10000,1.085923195,0.54430002,0.45569998,local_2
cifar,color,32,32,SVM_poli,30000,917.5810721,10000,252.8744395,0.4745,0.5255,local_2
cifar,color,32,32,decision_tree,30000,76.6355989,10000,0.081717014,0.2648,0.7352,local_2
cifar,color,32,32,random_forest,30000,90.25959468,10000,0.644844532,0.4575,0.5425,local_2
cifar,color,32,32,naive_bayes,30000,0.790356398,10000,1.882320642,0.2968,0.7032,local_2
cifar,color,32,32,knn,30000,0.001993179,10000,9.941419125,0.315,0.685,local_2
cifar,color,32,32,NN,30000,8.66886282,10000,0.443416119,0.100000001,0.899999999,local_2
cifar,color,32,32,CNN,30000,79.27678871,10000,1.198260307,0.608699977,0.391300023,local_2
cifar,gray,32,32,SVM_poli,30000,641.1061757,10000,82.48622441,0.373,0.627,local_2
cifar,gray,32,32,decision_tree,30000,25.78388882,10000,0.018936396,0.2245,0.7755,local_2
cifar,gray,32,32,random_forest,30000,54.3530705,10000,0.365866899,0.4073,0.5927,local_2
cifar,gray,32,32,naive_bayes,30000,0.285047054,10000,0.588033676,0.2732,0.7268,local_2
cifar,gray,32,32,knn,30000,0.017940521,10000,2.523124218,0.2731,0.7269,local_2
cifar,gray,32,32,NN,30000,7.4633255,10000,0.276551008,0.100000001,0.899999999,local_2
cifar,gray,32,32,CNN,30000,74.02501154,10000,1.043678999,0.594399989,0.405600011,local_2
cifar,gray,32,32,CNN,50000,115.0782769,10000,1.011010647,0.62620002,0.37379998,local_3
cifar,gray,32,32,CNN,40000,92.458215,10000,0.988216162,0.597599983,0.402400017,local_3
cifar,gray,32,32,CNN,30000,69.5341301,10000,0.987439156,0.586799979,0.413200021,local_3
cifar,gray,32,32,CNN,20000,48.40895867,10000,1.083067179,0.53670001,0.46329999,local_3
cifar,gray,32,32,CNN,10000,25.83748078,10000,1.040331364,0.442499995,0.557500005,local_3
cifar,gray,32,32,CNN,5000,12.99790311,10000,1.051229,0.446099997,0.553900003,local_3
cifar,gray,32,32,NN,50000,12.82525182,10000,0.298840046,0.100000001,0.899999999,local_3
cifar,gray,32,32,NN,40000,10.68938923,10000,0.310522795,0.100000001,0.899999999,local_3
cifar,gray,32,32,NN,30000,8.125478268,10000,0.300977468,0.127100006,0.872899994,local_3
cifar,gray,32,32,NN,20000,5.406366587,10000,0.29864645,0.100000001,0.899999999,local_3
cifar,gray,32,32,NN,10000,2.961629868,10000,0.30329752,0.175699994,0.824300006,local_3
cifar,gray,32,32,NN,5000,1.663056135,10000,0.295773268,0.100400001,0.899599999,local_3
cifar,gray,32,32,SVM_poli,50000,2526.151786,10000,133.1981971,0.3996,0.6004,local_3
cifar,gray,32,32,SVM_poli,40000,1289.252119,10000,102.9057162,0.3906,0.6094,local_3
cifar,gray,32,32,SVM_poli,30000,608.3066003,10000,76.22858667,0.373,0.627,local_3
cifar,gray,32,32,SVM_poli,20000,237.2661827,10000,55.29536557,0.3605,0.6395,local_3
cifar,gray,32,32,SVM_poli,10000,41.80828381,10000,26.09187174,0.3242,0.6758,local_3
cifar,gray,32,32,SVM_poli,5000,7.717852592,10000,12.60922718,0.2947,0.7053,local_3
cifar,gray,32,32,decision_tree,50000,45.21919584,10000,0.032896757,0.2339,0.7661,local_3
cifar,gray,32,32,decision_tree,40000,35.35437584,10000,0.019024134,0.2334,0.7666,local_3
cifar,gray,32,32,decision_tree,30000,24.98045444,10000,0.019519091,0.2242,0.7758,local_3
cifar,gray,32,32,decision_tree,20000,15.89702964,10000,0.02013278,0.2252,0.7748,local_3
cifar,gray,32,32,decision_tree,10000,7.2032125,10000,0.02003336,0.2161,0.7839,local_3
cifar,gray,32,32,decision_tree,5000,3.358801842,10000,0.017528296,0.1988,0.8012,local_3
cifar,gray,32,32,random_forest,50000,92.39058971,10000,0.43504405,0.4185,0.5815,local_3
cifar,gray,32,32,random_forest,40000,72.50555372,10000,0.375458002,0.4139,0.5861,local_3
cifar,gray,32,32,random_forest,30000,52.07755566,10000,0.354849339,0.4083,0.5917,local_3
cifar,gray,32,32,random_forest,20000,33.49052167,10000,0.321930408,0.3929,0.6071,local_3
cifar,gray,32,32,random_forest,10000,15.25136614,10000,0.290696383,0.3708,0.6292,local_3
cifar,gray,32,32,random_forest,5000,7.04948473,10000,0.254026413,0.353,0.647,local_3
cifar,gray,32,32,naive_bayes,50000,0.594823122,10000,0.624902964,0.2709,0.7291,local_3
cifar,gray,32,32,naive_bayes,40000,0.35565877,10000,0.56946373,0.273,0.727,local_3
cifar,gray,32,32,naive_bayes,30000,0.261193752,10000,0.577010632,0.2732,0.7268,local_3
cifar,gray,32,32,naive_bayes,20000,0.168767929,10000,0.571206093,0.2726,0.7274,local_3
cifar,gray,32,32,naive_bayes,10000,0.080857515,10000,0.572131395,0.2708,0.7292,local_3
cifar,gray,32,32,naive_bayes,5000,0.040631056,10000,0.578390121,0.2713,0.7287,local_3
